name,description,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
meals,Percentage of Students that are Eligible in the Free or Reduced Price Meal Program,,,,,,,,,,X,X,X,X,X
meals,Percentage of Students Tested that are Participants in the Free or Reduced Price Lunch Program,X,X,,,,,,,,,,,,
meals,Percentage of Students Tested that are Participants in the Free or Reduced Price Meal Program,,,X,X,X,X,,,,,,,,
meals,Percentage of Students that are Participants in the Free or Reduced Price Meal Program,,,,,,,X,X,X,,,,,
med_base,Median score of this school's similar schools group for [Last Year] Base API,,,,,,,,,,,,,,X
med_growth,Median score of this school's similar schools group for [This Year] Growth API,,,,,,,,,,,,,,X
median_base,Median score of this school's similar schools group for [Last Year] Base API,,,,X,X,X,X,X,X,X,X,X,X,
median_growth,Median score of this school's similar schools group for [This Year] Growth API,,,,X,X,X,X,X,X,X,X,X,X,
mobility,Percentage of Students Who First Attended This School in the Present Year,X,,,,,,,,,,,,,
mobility,Percentage of Students Who First Attended this School in the Present Year,,X,,,,,,,,,,,,
mr_api_base,[Last Year] 'Two or More Races' API (Base),,,,,,,,,,,X,X,X,X
mr_api_growth,[This Year] 'Two or More Races' API (Growth),,,,,,,,,,,X,X,X,X
mr_grow,[Last year Range] 'Two or More Races' Growth,,,,,,,,,,,X,X,X,X
mr_met,Met 'Two or More Races' Growth Target,,,,,,,,,,,,,X,X
mr_met,Met 'Two or More Races' Subgroup Growth Target,,,,,,,,,,,X,X,,
mr_num,Number of 'Two or More Races' included in API,,,,,,,,,,,X,X,X,X
mr_sig,'Two or More Races' Significant Both Years? (Yes/No),,,,,,,,,,,X,X,X,X
mr_targ,[Last year Range] 'Two or More Races' Growth Target,,,,,,,,,,,,,,X
mrm_targ,[Last year Range] 'Two or More Races' Subgroup Growth Target,,,,,,,,,,,X,X,,
mrm_targ,[Last year Range] 'Two or More Races' Growth Target,,,,,,,,,,,,,X,
not_hsg,Parent Ed Level: Percent Not High School Graduate,X,X,X,X,X,X,X,X,X,X,X,X,X,X
p_di,Percent of Students with Disabilities (STAR),,,,,,,X,X,X,X,X,X,X,X
p_el,Percent of participants who are designated as English Learners,,,,,,,X,X,X,X,X,X,X,X
p_fday,Percent of participants in full day Reduced Class Size Program (Standardized Testing and Reporting or STAR),,,,,,,X,,,,,,,
p_gate,Percent of participants in Gifted and Talented education programs (STAR),,,,,,,X,X,X,X,X,X,X,X
p_miged,Percent of participants in migrant education programs (STAR),,,,,,,X,X,X,X,X,X,X,X
p_rfep,Percent of Reclassified Fluent-English-Proficient (RFEP) students (STAR),,,,,,,X,X,X,X,X,X,X,X
par_opt,Number of Students Excused from Testing by Parental Written Request,,,,,,X,X,X,X,X,X,X,X,X
parent_opt,Number of Students Excused from Testing by Parental Written Request,X,X,X,X,X,,,,,,,,,
pchs_e,Product of Test Weights Multiplied by Valid scores for CAHSEE ELA in Grades 9-11,,,,,,,X,X,,,,,,
pchs_e,Product of Test Weights Multiplied by Valid scores for CAHSEE English-language arts in Grades 9-11,,,,,,X,,,,,,,,
pchs_e,Product of Test Weights multiplied by Valid scores for CAHSEE ELA in Grades 9-11,,,,,,,,,X,X,X,X,X,X
pchs_m,Product of Test Weights multiplied by Valid scores for CAHSEE mathematics in Grades 9-11,,,,,,,,,X,X,X,X,X,X
pchs_m,Product of Test Weights Multiplied by Valid scores for CAHSEE mathematics in Grades 9-11,,,,,,X,X,X,,,,,,
pcst_e28,Product of Test Weights multiplied by Valid Scores for CST in English-language arts Grades 2-8,,,,,,,,,X,X,X,X,X,X
